id,video,emotion,path
1,https://www.instagram.com/reel/DNKcHgdA-d1/?igsh=MWFxdnhjbzh1YmdhYw%3D%3D,Surprise,/content/drive/MyDrive/satria_data_2025/df_train_videos/[1]DNKcHgdA-d1.mp4
2,https://www.instagram.com/reel/DNHwrh2gnBm/?igsh=YTg3cGIycGtqbG51,Surprise,/content/drive/MyDrive/satria_data_2025/df_train_videos/[2]DNHwrh2gnBm.mp4
3,https://www.instagram.com/reel/DM7QsjnRCoa/?igsh=NDQ1NW11a2ZiZW1y,Surprise,/content/drive/MyDrive/satria_data_2025/df_train_videos/[3]DM7QsjnRCoa.mp4
4,https://www.instagram.com/reel/DNBBEt6Paxj/?igsh=MTB2bXgyMHhwaHI4dA%3D%3D,Surprise,/content/drive/MyDrive/satria_data_2025/df_train_videos/[4]DNBBEt6Paxj.mp4
5,https://www.instagram.com/reel/DMz13fQzZsN/?igsh=MWxxcDA3N2VsenpnZw%3D%3D,Proud,/content/drive/MyDrive/satria_data_2025/df_train_videos/[5]DMz13fQzZsN.mp4
6,https://www.instagram.com/reel/DMz1mj7s6u7/?igsh=MXQzN3ZoNWZsMGk5cg%3D%3D,Surprise,/content/drive/MyDrive/satria_data_2025/df_train_videos/[6]DMz1mj7s6u7.mp4
7,https://www.instagram.com/reel/DMzlY-uxiog/?igsh=bGthOTk2Mm52YTJl,Proud,/content/drive/MyDrive/satria_data_2025/df_train_videos/[7]DMzlY-uxiog.mp4
8,https://www.instagram.com/reel/DMuCyqkJwwB/?igsh=eTg2ZWtyYTF4ZWxh,Proud,/content/drive/MyDrive/satria_data_2025/df_train_videos/[8]DMuCyqkJwwB.mp4
9,https://www.instagram.com/reel/DMrSfkGzVwK/?igsh=MTY5aXFxNW8yejhwcA%3D%3D,Trust,/content/drive/MyDrive/satria_data_2025/df_train_videos/[9]DMrSfkGzVwK.mp4
10,https://www.instagram.com/reel/DMozK27xS7J/?igsh=d25seXltcmc2MWpq,Surprise,/content/drive/MyDrive/satria_data_2025/df_train_videos/[10]DMozK27xS7J.mp4
11,https://www.instagram.com/reel/DMm5ofzxt1D/?igsh=OGd4eXA1MGJlaWV1,Proud,/content/drive/MyDrive/satria_data_2025/df_train_videos/[11]DMm5ofzxt1D.mp4
12,http://instagram.com/reel/DMmKMrNxr50/?igsh=MWgzOHlpNnd0M3VmNw%3D%3D,Trust,/content/drive/MyDrive/satria_data_2025/df_train_videos/[12]DMmKMrNxr50.mp4
13,https://www.instagram.com/reel/DMkLaw4Rqt5/?igsh=MWNhMnR0aHp2cnc2ZQ%3D%3D,Trust,/content/drive/MyDrive/satria_data_2025/df_train_videos/[13]DMkLaw4Rqt5.mp4
14,https://www.instagram.com/reel/DMjo8jKRvlV/?igsh=MWp1cHZ2dXd5aTNhaw%3D%3D,Trust,/content/drive/MyDrive/satria_data_2025/df_train_videos/[14]DMjo8jKRvlV.mp4
15,https://www.instagram.com/reel/DMXQuTKRfmV/?igsh=MXRqbjN1ZXhkenpxMg%3D%3D,Surprise,/content/drive/MyDrive/satria_data_2025/df_train_videos/[15]DMXQuTKRfmV.mp4
16,https://www.instagram.com/reel/DMRqecSRm7M/?igsh=MWd0ejliMHhzZjhleg%3D%3D,Surprise,/content/drive/MyDrive/satria_data_2025/df_train_videos/[16]DMRqecSRm7M.mp4
17,https://www.instagram.com/reel/DMHyhTJRej0/?igsh=MWxoeTdpaTdsMnIxcQ%3D%3D,Surprise,/content/drive/MyDrive/satria_data_2025/df_train_videos/[17]DMHyhTJRej0.mp4
18,https://www.instagram.com/reel/DL1oBjdRc3-/?igsh=Ynp1NnIxcHN3cm9t,Sadness,/content/drive/MyDrive/satria_data_2025/df_train_videos/[18]DL1oBjdRc3-.mp4
19,https://www.instagram.com/reel/DLuZNKOzFQ_/?igsh=M284bXZ6a3ppZHF5,Trust,/content/drive/MyDrive/satria_data_2025/df_train_videos/[19]DLuZNKOzFQ_.mp4
20,https://www.instagram.com/reel/DLn8SMvyPca/?igsh=Z2tndjRmM2E4emhm,Surprise,/content/drive/MyDrive/satria_data_2025/df_train_videos/[20]DLn8SMvyPca.mp4
21,https://www.instagram.com/reel/DLd7bkYyuV6/?igsh=azBpd2VxMW5vM2I2,Terkejut,/content/drive/MyDrive/satria_data_2025/df_train_videos/[21]DLd7bkYyuV6.mp4
22,https://www.instagram.com/reel/DLW9kprxKTe/?igsh=bmwxdWJmeGd0YXY1,Surprise,/content/drive/MyDrive/satria_data_2025/df_train_videos/[22]DLW9kprxKTe.mp4
23,https://www.instagram.com/reel/DLluizmyaG9/?igsh=MXRpYjVtYzZ5OHV5MQ%3D%3D,Surprise,/content/drive/MyDrive/satria_data_2025/df_train_videos/[23]DLluizmyaG9.mp4
24,https://www.instagram.com/reel/DK6gKdAxavr/?igsh=MTFtcXMyZXFmMmk1Mg%3D%3D,Surprise,/content/drive/MyDrive/satria_data_2025/df_train_videos/[24]DK6gKdAxavr.mp4
25,https://www.instagram.com/reel/DK6P7JxR2HP/?igsh=cW1rb3J0aWg5ZTk3,Surprise,/content/drive/MyDrive/satria_data_2025/df_train_videos/[25]DK6P7JxR2HP.mp4
26,https://www.instagram.com/reel/DK5v1dZysCd/?igsh=MWwwbGR2ZDBldzZhZg%3D%3D,Surprise,/content/drive/MyDrive/satria_data_2025/df_train_videos/[26]DK5v1dZysCd.mp4
27,https://www.instagram.com/reel/DKyoWLZxUhw/?igsh=MWptanFveHI0MTZvag%3D%3D,Surprise,/content/drive/MyDrive/satria_data_2025/df_train_videos/[27]DKyoWLZxUhw.mp4
28,https://www.instagram.com/reel/DKqTFiyyCqU/?igsh=c21yMHp5dDYzcWNy,Surprise,/content/drive/MyDrive/satria_data_2025/df_train_videos/[28]DKqTFiyyCqU.mp4
29,https://www.instagram.com/reel/DKYsIP8TVcJ/?igsh=djZyM3RjZ2J2dW1t,Proud,/content/drive/MyDrive/satria_data_2025/df_train_videos/[29]DKYsIP8TVcJ.mp4
30,https://www.instagram.com/reel/DNFwcqfS6Gv/?igsh=MTRzdTJ1MThmcm9pag%3D%3D,Proud,/content/drive/MyDrive/satria_data_2025/df_train_videos/[30]DNFwcqfS6Gv.mp4
31,https://www.instagram.com/reel/DNCx0f7yuhu/?igsh=c3drc3p4N2h1bXE5,Surprise,/content/drive/MyDrive/satria_data_2025/df_train_videos/[31]DNCx0f7yuhu.mp4
32,https://www.instagram.com/reel/DLrCQUayqES/?igsh=MXdoNm9qamZ2a3M2bA%3D%3D,Surprise,/content/drive/MyDrive/satria_data_2025/df_train_videos/[32]DLrCQUayqES.mp4
33,https://www.instagram.com/reel/DKRqwksS_WC/?igsh=MWVwMDB6Y2JhbnVuZg%3D%3D,Terkejut,/content/drive/MyDrive/satria_data_2025/df_train_videos/[33]DKRqwksS_WC.mp4
34,https://www.instagram.com/reel/DKQ8RCqypek/?igsh=eXdiamQ2aXd0Zm5t,Joy,/content/drive/MyDrive/satria_data_2025/df_train_videos/[34]DKQ8RCqypek.mp4
35,https://www.instagram.com/reel/DJ3CggBSV0c/?igsh=emx2ZXFpc2lrYmt6,Proud,/content/drive/MyDrive/satria_data_2025/df_train_videos/[35]DJ3CggBSV0c.mp4
36,https://www.instagram.com/reel/DJbiKpfSoQS/?igsh=MTIzcWo1enhibjUydw%3D%3D,Surprise,/content/drive/MyDrive/satria_data_2025/df_train_videos/[36]DJbiKpfSoQS.mp4
37,https://www.instagram.com/reel/DI24B5NS1Ng/?igsh=MTh6d2pjcXRsZmZ2aw%3D%3D,Trust,/content/drive/MyDrive/satria_data_2025/df_train_videos/[37]DI24B5NS1Ng.mp4
38,https://www.instagram.com/reel/DIu8g5XSNwT/?igsh=ejI0aWFzbDJpZmF4,Surprise,/content/drive/MyDrive/satria_data_2025/df_train_videos/[38]DIu8g5XSNwT.mp4
39,https://www.instagram.com/reel/DHubvAIyjA_/?igsh=anp1aGhqM2docmd5,Proud,/content/drive/MyDrive/satria_data_2025/df_train_videos/[39]DHubvAIyjA_.mp4
40,https://www.instagram.com/reel/DHTC04Vybkk/?igsh=MXIzYmx6NXBzdzdqOQ%3D%3D,Surprise,/content/drive/MyDrive/satria_data_2025/df_train_videos/[40]DHTC04Vybkk.mp4
